key,menu,T,T_lead,f_edge,unit_cost,unit_price,qty,historically_available,historically_chosen,profit
A000,112,-12,0,-0.2741378553622176,15.5,32.51,1,1.0,1.0,-1.55
A000,0,0,0,-0.26812349510247374,15.5,32.51,1,,,
A000,112,-12,0,-0.2741378553622176,15.5,32.51,2,1.0,0.0,
A000,0,0,0,-0.14011633080676422,15.5,32.51,2,,,
A000,112,-12,0,-0.2741378553622176,15.5,32.51,3,1.0,0.0,
A000,0,0,0,-0.32335850721735054,15.5,32.51,3,,,
A001,111,-11,0,0.35688700816006075,13.62,20.47,1,1.0,0.0,
A001,0,0,0,0.22246555343155255,13.62,20.47,1,,,
A001,111,-11,0,0.35688700816006075,13.62,20.47,2,1.0,1.0,4.1259999999999994
A001,0,0,0,0.31112543205603893,13.62,20.47,2,,,
A001,111,-11,0,0.35688700816006075,13.62,20.47,3,1.0,0.0,
A001,0,0,0,0.16676473417997634,13.62,20.47,3,,,
A002,110,-10,0,-0.23509113107468127,19.87,28.12,1,1.0,1.0,6.263
A002,0,0,0,-0.4867671021567326,19.87,28.12,1,,,
A002,110,-10,0,-0.23509113107468127,19.87,28.12,2,1.0,0.0,
A002,0,0,0,-0.2889604206593449,19.87,28.12,2,,,
A002,110,-10,0,-0.23509113107468127,19.87,28.12,3,1.0,0.0,
A002,0,0,0,-0.23994122561478848,19.87,28.12,3,,,
A003,109,-9,0,-0.47775327603393064,14.17,24.04,1,1.0,1.0,
A003,0,0,0,-0.4810054465284827,14.17,24.04,1,,,
A003,109,-9,0,-0.47775327603393064,14.17,24.04,2,1.0,0.0,
A003,0,0,0,-0.38931428929561324,14.17,24.04,2,,,
A003,109,-9,0,-0.47775327603393064,14.17,24.04,3,1.0,0.0,
A003,0,0,0,-0.5361133193082608,14.17,24.04,3,,,
A004,108,-8,0,0.06378177425506196,11.21,23.32,1,1.0,0.0,
A004,0,0,0,0.2638234288893042,11.21,23.32,1,,,
A004,108,-8,0,0.06378177425506196,11.21,23.32,2,1.0,1.0,21.977999999999998
A004,0,0,0,0.14000774546353315,11.21,23.32,2,,,
A004,108,-8,0,0.06378177425506196,11.21,23.32,3,1.0,0.0,
A004,0,0,0,-0.056147115955460375,11.21,23.32,3,,,
A005,107,-7,0,-0.1887821253507493,12.65,19.27,1,1.0,1.0,5.354999999999999
A005,0,0,0,-0.23511288300459082,12.65,19.27,1,,,
A005,107,-7,0,-0.1887821253507493,12.65,19.27,2,1.0,0.0,
A005,0,0,0,-0.17605528422816624,12.65,19.27,2,,,
A005,107,-7,0,-0.1887821253507493,12.65,19.27,3,1.0,0.0,
A005,0,0,0,-0.3075015781357633,12.65,19.27,3,,,
A006,106,-6,0,0.8987638721004078,10.87,17.42,1,1.0,0.0,
A006,0,0,0,0.9677042621574833,10.87,17.42,1,,,
A006,106,-6,0,0.8987638721004078,10.87,17.42,2,1.0,1.0,10.926000000000005
A006,0,0,0,0.866042530078188,10.87,17.42,2,,,
A006,106,-6,0,0.8987638721004078,10.87,17.42,3,1.0,0.0,
A006,0,0,0,0.8619062826904118,10.87,17.42,3,,,
A007,105,-5,0,-0.4280249425728672,9.75,13.58,1,1.0,1.0,2.855
A007,0,0,0,-0.4723830648703091,9.75,13.58,1,,,
A007,105,-5,0,-0.4280249425728672,9.75,13.58,2,1.0,0.0,
A007,0,0,0,-0.31141216495384494,9.75,13.58,2,,,
A007,105,-5,0,-0.4280249425728672,9.75,13.58,3,1.0,0.0,
A007,0,0,0,-0.3627160923027508,9.75,13.58,3,,,
A008,104,-4,0,-0.3398695517131494,18.51,30.87,1,1.0,1.0,
A008,0,0,0,-0.3052015468253064,18.51,30.87,1,,,
A008,104,-4,0,-0.3398695517131494,18.51,30.87,2,1.0,0.0,
A008,0,0,0,-0.5086899634498037,18.51,30.87,2,,,
A008,104,-4,0,-0.3398695517131494,18.51,30.87,3,1.0,0.0,
A008,0,0,0,-0.5434024462071427,18.51,30.87,3,,,
A009,103,-3,0,0.16405279571222256,15.89,25.87,1,1.0,0.0,
A009,0,0,0,0.14345976268690092,15.89,25.87,1,,,
A009,103,-3,0,0.16405279571222256,15.89,25.87,2,1.0,1.0,16.782
A009,0,0,0,0.234299091224277,15.89,25.87,2,,,
A009,103,-3,0,0.16405279571222256,15.89,25.87,3,1.0,0.0,
A009,0,0,0,0.2160435594156124,15.89,25.87,3,,,
A010,102,-2,0,0.035286848661474135,19.2,23.14,1,1.0,0.0,
A010,0,0,0,0.044217497238379165,19.2,23.14,1,,,
A010,102,-2,0,0.035286848661474135,19.2,23.14,2,1.0,1.0,4.040000000000003
A010,0,0,0,-0.023815986624153268,19.2,23.14,2,,,
A010,102,-2,0,0.035286848661474135,19.2,23.14,3,1.0,0.0,
A010,0,0,0,0.02342586627370473,19.2,23.14,3,,,
A011,101,-1,0,0.3628397991887543,16.71,23.84,1,1.0,0.0,
A011,0,0,0,0.37593491994723427,16.71,23.84,1,,,
A011,101,-1,0,0.3628397991887543,16.71,23.84,2,1.0,1.0,10.917999999999997
A011,0,0,0,0.20915630515960543,16.71,23.84,2,,,
A011,101,-1,0,0.3628397991887543,16.71,23.84,3,1.0,0.0,
A011,0,0,0,0.4877546741445998,16.71,23.84,3,,,
